data_hora_dispositivo;entradas_4a20 (1);status (1);status (2);timestamp_dispositivo;codigo_produto;rele (1);tipo_sensor;temperatura;pulso (1);pulso (2);timestamp_servidor;dia_sem;sinal;id_dispositivo;umidade;ct_pulso (1);ct_pulso (2);Hidrômetro  (1);Vazão (1);Sonda de nível (1)
2025-03-01 05:40:00;460;0;0;1740818400;25;0;DISABLED;-32768;32157;0;1740818401;Saturday;-79;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 05:43:00;460;0;0;1740818580;25;0;DISABLED;-32768;32157;0;1740818581;Saturday;-79;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 05:46:00;460;0;0;1740818760;25;0;DISABLED;-32768;32157;0;1740818761;Saturday;-81;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 05:49:00;460;0;0;1740818940;25;0;DISABLED;-32768;32157;0;1740818941;Saturday;-82;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 05:52:00;460;0;0;1740819120;25;0;DISABLED;-32768;32157;0;1740819121;Saturday;-85;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 05:55:00;460;0;0;1740819300;25;0;DISABLED;-32768;32157;0;1740819301;Saturday;-80;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 05:58:00;460;0;0;1740819480;25;0;DISABLED;-32768;32157;0;1740819481;Saturday;-84;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 06:01:00;460;0;0;1740819660;25;0;DISABLED;-32768;32157;0;1740819661;Saturday;-82;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 06:04:00;460;0;0;1740819840;25;0;DISABLED;-32768;32157;0;1740819841;Saturday;-84;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 06:07:00;460;0;0;1740820020;25;0;DISABLED;-32768;32157;0;1740820021;Saturday;-87;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 06:10:00;460;0;0;1740820200;25;0;DISABLED;-32768;32160;0;1740820201;Saturday;-82;2756562;-32768;351;0;5868.2;10.26;11.25
2025-03-01 06:13:00;460;0;0;1740820380;25;0;DISABLED;-32768;32165;0;1740820381;Saturday;-85;2756562;-32768;378;0;5868.7;9.52;11.25
2025-03-01 06:16:00;460;1;0;1740820560;25;0;DISABLED;-32768;32170;0;1740820561;Saturday;-79;2756562;-32768;405;0;5869.2;8.89;11.25
2025-03-01 06:19:00;460;0;0;1740820740;25;0;DISABLED;-32768;32174;0;1740820741;Saturday;-83;2756562;-32768;422;0;5869.6;8.53;11.25
2025-03-01 06:22:00;460;0;0;1740820920;25;0;DISABLED;-32768;32178;0;1740820921;Saturday;-86;2756562;-32768;436;0;5870.0;8.26;11.25
2025-03-01 06:25:00;460;0;0;1740821100;25;0;DISABLED;-32768;32182;0;1740821101;Saturday;-87;2756562;-32768;445;0;5870.4;8.09;11.25
2025-03-01 06:28:00;460;0;0;1740821280;25;0;DISABLED;-32768;32186;0;1740821281;Saturday;-84;2756562;-32768;454;0;5870.8;7.93;11.25
2025-03-01 06:31:00;460;0;0;1740821460;25;0;DISABLED;-32768;32190;0;1740821461;Saturday;-88;2756562;-32768;462;0;5871.2;7.79;11.25
2025-03-01 06:34:00;460;0;0;1740821640;25;0;DISABLED;-32768;32194;0;1740821641;Saturday;-86;2756562;-32768;466;0;5871.6;7.73;11.25
2025-03-01 06:37:00;460;0;0;1740821820;25;0;DISABLED;-32768;32198;0;1740821821;Saturday;-84;2756562;-32768;469;0;5872.0;7.68;11.25
2025-03-01 06:40:00;460;1;0;1740822000;25;0;DISABLED;-32768;32202;0;1740822001;Saturday;-84;2756562;-32768;471;0;5872.4;7.64;11.25
2025-03-01 06:43:00;460;0;0;1740822180;25;0;DISABLED;-32768;32205;0;1740822181;Saturday;-86;2756562;-32768;474;0;5872.7;7.59;11.25
